instansi,bagian,uraian,program,kegiatan,sub_kegiatan,sub_rincian,Cluster
dinas pendidikan,bidang sarana prasarana,pembangunan ruang lab komputer beserta perabotnya sdn putatnutug kec ciseeng dak fisik,program pengelolaan pendidikan,pengelolaan pendidikan sekolah dasar,pembangunan sarana prasarana utilitas sekolah,belanja modal bangunan gedung pendidikan,2
dinas pekerjaan penataan ruang,bidang penyehatan lingkungan,pembayaran termin kesatu pembangunan ipal skala permukiman minimal kk desa cisalada kecamatan cigombong dak fisik reguler pengembangan sistem pengelolaan air limbah domestik terpusat spaldt dak,program pengelolaan pengembangan sistem air limbah,pengelolaan pengembangan sistem air limbah domestik daerah kabupaten kota,pembangunan penyediaan sistem pengelolaan air limbah terpusat skala permukiman,belanja hibah uang badan lembaga nirlaba sukarela bersifat sosial kemasyarakatan,2
dinas pemuda olahraga,sekretariat dispora,belanja kegiatan koordinasi penyusunan dokumen rka skpd,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,koordinasi penyusunan dokumen rka skpd,belanja alat bahan kegiatan kantoralat tulis kantor,1
dinas kesehatan,sekretariat dinas kesehatan,pembayaran ls belanja tagihan listrik sub kegiatan penyediaan jasa komunikasi sumber daya air listrik tagihan agustus rsud parung,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja tagihan listrik,3
dinas kesehatan,bidang sumberdaya kesehatan,pembayaran belanja modal alat kedokteran gigi pengadaan aerosol dental suction sub kegiatan pengadaan alat kesehatanalat penunjang medik fasilitas pelayanan kesehatan,program pemenuhan upaya kesehatan perorangan upaya kesehatan masyarakat,penyediaan fasilitas pelayanan kesehatan ukm ukp kewenangan daerah kabupaten kota,pengadaan alat kesehatan alat penunjang medik fasilitas pelayanan kesehatan,belanja modal alat kedokteran gigi,2
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,belanja makanan minuman rapat sub keg perumusan kebijakan teknis bidang ideologi wawasan kebangsaan termin i,program penguatan ideologi pancasila karakter kebangsaan,perumusan kebijakan teknis pemantapan pelaksanaan bidang ideologi pancasila karakter kebangsaan,perumusan kebijakan teknis bidang ideologi wawasan kebangsaan bela negara karakter bangsa pembauran kebangsaan bineka tunggal ika sejarah kebangsaan,belanja makanan minuman rapat,1
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,belanja jasa iklan reklame film pemotretan sub keg evaluasi kinerja perangkat daerah,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,evaluasi kinerja perangkat daerah,belanja jasa iklan reklame film pemotretan,1
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,belanja perjalanan dinas kota sub keg penyelenggaraan rapat koordinasi konsultasi skpd,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi perangkat daerah,penyelenggaraan rapat koordinasi konsultasi skpd,belanja perjalanan dinas kota,4
dinas sosial,bidang rehabilitasi sosial,pemberian pelayanan reunifikasi keluarga,program rehabilitasi sosial,rehabilitasi sosial penyandang kesejahteraan sosial pmks korban hiv aids napza panti sosial,pemberian pelayanan reunifikasi keluarga,belanja perjalanan dinas kota,3
dinas pendidikan,bidang paud dikmas,pengajuan gu belanja atk kertas cover bahan komputer belanja perjalanan dinas kota sub kegiatan peningkatan kapasitas peningkatan kapasitas pengelolaan dana bos sekolah menengah dau ta,program pengelolaan pendidikan,pengelolaan pendidikan sekolah menengah,peningkatan kapasitas pengelolaan dana bos sekolah menengah,belanja alat bahan kegiatan kantor kertas cover,2
dinas pendidikan,sekretariat dinas pendidikan,pengajuan pembayaran biaya tagihan internet agustus dinas pendidikan smp negeri wilayah kabupaten bogor wilayah sub kegiatan penyediaan jasa komunikasi sumber daya air listrikpgdinv,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja kawat faksimili internet tv berlangganan,3
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,belanja kertas cover belanja makanan minuman rapat sub keg koordinasi penyusunan dpaskpd,program penunjang urusan pemerintahan daerah kabupaten kota,perencanaan penganggaran evaluasikinerja perangkat daerah,koordinasi penyusunan dpaskpd,belanja makanan minuman rapat,1
dinas pekerjaan penataan ruang,bidang penyehatan lingkungan,pembayaran termin kesatu pembangunan ipal skala permukiman minimal kk desa sukatani kecamatan sukaraja dak fisik reguler pengembangan sistem pengelolaan air limbah domestik terpusat spaldt dak,program pengelolaan pengembangan sistem air limbah,pengelolaan pengembangan sistem air limbah domestik daerah kabupaten kota,pembangunan penyediaan sistem pengelolaan air limbah terpusat skala permukiman,belanja hibah uang badan lembaga nirlaba sukarela bersifat sosial kemasyarakatan,2
dinas kesehatan,bidang sumberdaya kesehatan,pembayaran belanja modal alat laboratorium pengadaan autoclave sub kegiatan pengadaan alat kesehatanalat penunjang medik fasilitas pelayanan kesehatan,program pemenuhan upaya kesehatan perorangan upaya kesehatan masyarakat,penyediaan fasilitas pelayanan kesehatan ukm ukp kewenangan daerah kabupaten kota,pengadaan alat kesehatan alat penunjang medik fasilitas pelayanan kesehatan,belanja modal alat laboratorium,2
dinas pendidikan,sekretariat dinas pendidikan,pengajuan pembayaran biaya tagihan internet agustus smp negeri wilayah kabupaten bogor wilayah sub kegiatan penyediaan jasa komunikasi sumber daya air listrikpgdinv,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja kawat faksimili internet tv berlangganan,3
dinas kesehatan,rsud cileungsi,rsud cileungsi pembayaran tunjangan tamsil berdasarkan kelangkaan profesi asn juli,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi keuangan perangkat daerah,penyediaan gaji tunjangan asn,tambahan penghasilan berdasarkan kelangkaan profesi pns,3
dinas sosial,sekretariat dinsos,belanja tagihan listrik kantor dinas sosial agustus id pel,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja tagihan listrik,3
dinas kesehatan,bidang sumberdaya kesehatan,pembayaran belanja modal alat kesehatan kebidanan penyakit kandungan pengadaan infant warmer sub kegiatan pengadaan alat kesehatanalat penunjang medik fasilitas pelayanan kesehatan,program pemenuhan upaya kesehatan perorangan upaya kesehatan masyarakat,penyediaan fasilitas pelayanan kesehatan ukm ukp kewenangan daerah kabupaten kota,pengadaan alat kesehatan alat penunjang medik fasilitas pelayanan kesehatan,belanja modal alat kesehatan kebidanan penyakit kandungan,2
dinas pendidikan,bidang sarana prasarana,rehabilitasi toilets beserta sanitasinya sdn bojong kec sukajaya dak fisik,program pengelolaan pendidikan,pengelolaan pendidikan sekolah dasar,rehabilitasi berat sarana prasarana utilitas sekolah,belanja modal bangunan pelengkap air bersih air baku,3
dinas pemuda olahraga,sekretariat dispora,belanja makanan minuman rapat kegiatan fasilitasi kunjungan tamu termin,program penunjang urusan pemerintahan daerah kabupaten kota,administrasi perangkat daerah,fasilitasi kunjungan tamu,belanja makanan minuman rapat,4
dinas sosial,bidang rehabilitasi sosial,pemberian pelayanan reunifikasi keluarga,program rehabilitasi sosial,rehabilitasi sosial dasar penyandang disabilitas terlantar anak terlantar usia terlantar gelandangan pengemis panti sosial,pemberian pelayanan reunifikasi keluarga,belanja perjalanan dinas kota,3
dinas kependudukan pencatatan sipil,sekretariat disduk,pembayaran tagihan air pdam upt v ciawi id pel sub kegiatan penyediaan jasa komunikasi sumber daya air listrik agustus,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja tagihan air,3
dinas pemuda olahraga,bidang layanan kepemudaan,belanja beasiswa kegiatan pemberian penghargaan pemuda organisasi pemuda berjasa berprestasi universitas djuanda semester genap ta dau tematik,program pengembangan kapasitas daya saing kepemudaan,penyadaran pemberdayaan pengembangan pemuda kepemudaan pemuda pelopor kabupaten kota wirausaha muda pemula pemuda kader kabupaten kota,pemberian penghargaan pemuda organisasi pemuda berjasa berprestasi,belanja beasiswa,2
badan kesatuan bangsa politik,sekrtariat badan kesatuan bangsa politik,belanja kertas cover belanja bahan cetakbelanja bahan komputer sub keg pelaksanaan koordinasi bidang pendidikan politik etika budaya politik peningkatan demokrasi,program peningkatan peran partai politik lembaga pendidikan pendidikan politik pengembangan etika budaya politik,perumusan kebijakan teknis pemantapan pelaksanaan bidang pendidikan politik etika budaya politik peningkatan demokrasi fasilitasi kelembagaan pemerintahan perwakilan partai politik pemilihan pemilihan kepala daerah pemantauan situasi politik,pelaksanaan koordinasi bidang pendidikan politik etika budaya politik peningkatan demokrasi fasilitasi kelembagaan pemerintahan perwakilan partai politik pemilihan pemilihan kepala daerah pemantauan situasi politik daerah,belanja alat bahan kegiatan kantor bahan cetak,1
dinas sosial,bidang perlindungan jaminan sosial,belanja barang dijual diserahkan masyarakat,program penanganan bencana,perlindungan sosial korban bencana alam sosial kabupaten kota,penyediaan sandang,belanja barang dijual diserahkan masyarakat,2
dinas pemuda olahraga,bidang layanan kepemudaan,belanja beasiswa kegiatan pemberian penghargaan pemuda organisasi pemuda berjasa berprestasi universitas ibn khaldun semester genap ta dau tematik,program pengembangan kapasitas daya saing kepemudaan,penyadaran pemberdayaan pengembangan pemuda kepemudaan pemuda pelopor kabupaten kota wirausaha muda pemula pemuda kader kabupaten kota,pemberian penghargaan pemuda organisasi pemuda berjasa berprestasi,belanja beasiswa,2
dinas komunikasi informatika,bidang aplikasi teknologi informasi infrastruktur informasi,belanja makanan minuman rapat kegiatan penyelenggaraan sistem penghubung layanan pemerintah,program pengelolaan aplikasi informatika,pengelolaan e government lingkup pemerintah daerah kabupaten kota,penyelenggaraan sistem penghubung layanan pemerintah,belanja makanan minuman rapat,2
dinas kesehatan,upt laboratorium kesehatan daerah,pembayaran ls belanja jasa tenaga belanja jasa tagihan juli sub kegiatan operasional pelayanan fasilitas kesehatan upt labkesda sumber dana dau tematik ditentukan,program pemenuhan upaya kesehatan perorangan upaya kesehatan masyarakat,penyediaan layanan kesehatan ukm ukp rujukan tingkat daerah kabupaten kota,operasional pelayanan fasilitas kesehatan,belanja kawat faksimili internet tv berlangganan,1
dinas komunikasi informatika,sekretariat diskominfo,belanja pemeliharaan alat angkutanalat angkutan darat bermotorkendaraan dinas bermotor perorangan,program penunjang urusan pemerintahan daerah kabupaten kota,pemeliharaan barang milik daerah penunjangurusan pemerintahan daerah,penyediaan jasa pemeliharaan biaya pemeliharaan pajak perizinan kendaraan dinas operasional lapangan,belanja pemeliharaan alat angkutanalat angkutan darat bermotorkendaraan dinas bermotor perorangan,4
dinas pendidikan,sekretariat dinas pendidikan,pengajuan pembayaran belanja tagihan internet agustus agti wilayah sub kegiatan penyediaan jasa komunikasi sumber daya air listrik no invpel lnv,program penunjang urusan pemerintahan daerah kabupaten kota,penyediaan jasa penunjang urusanpemerintahan daerah,penyediaan jasa komunikasi sumber daya air listrik,belanja kawat faksimili internet tv berlangganan,3
